Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
19,2018/04/21,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201804210.shtml),LAD,,WSN (https://www.baseball-reference.com/teams/WSN/2018.shtml),W,4,0,,9-10,3,4.5,Ryu (https://www.baseball-reference.com/players/r/ryuhy01.shtml),Strasburg (https://www.baseball-reference.com/players/s/strasst01.shtml),,2:29,N,"50,908",0.84,+,
20,2018/04/22,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201804220.shtml),LAD,,WSN (https://www.baseball-reference.com/teams/WSN/2018.shtml),W,4,3,,10-10,3,4.5,Fields (https://www.baseball-reference.com/players/f/fieldjo03.shtml),Gott (https://www.baseball-reference.com/players/g/gotttr01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),3:21,N,"51,297",0.9,++,
21,2018/04/23,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201804230.shtml),LAD,,MIA (https://www.baseball-reference.com/teams/MIA/2018.shtml),W,2,1,,11-10,2,4,Liberatore (https://www.baseball-reference.com/players/l/liberad01.shtml),Barraclough (https://www.baseball-reference.com/players/b/barraky01.shtml),Fields (https://www.baseball-reference.com/players/f/fieldjo03.shtml),2:59,N,"46,909",0.88,+++,
22,2018/04/24,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201804240.shtml),LAD,,MIA (https://www.baseball-reference.com/teams/MIA/2018.shtml),L,2,3,,11-11,3,5,Steckenrider (https://www.baseball-reference.com/players/s/steckdr01.shtml),Báez (https://www.baseball-reference.com/players/b/baezpe01.shtml),Ziegler (https://www.baseball-reference.com/players/z/zieglbr01.shtml),3:06,N,"39,284",0.96,-,
23,2018/04/25,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201804250.shtml),LAD,,MIA (https://www.baseball-reference.com/teams/MIA/2018.shtml),L,6,8,,11-12,3,5,González (https://www.baseball-reference.com/players/g/gonzame01.shtml),Kershaw (https://www.baseball-reference.com/players/k/kershcl01.shtml),,3:54,D,"39,004",0.88,--,
24,2018/04/27,boxscore (https://www.baseball-reference.com/boxes/SFN/SFN201804270.shtml),LAD,@,SFG (https://www.baseball-reference.com/teams/SFG/2018.shtml),L,4,6,,11-13,4,6.5,Dyson (https://www.baseball-reference.com/players/d/dysonsa01.shtml),Cingrani (https://www.baseball-reference.com/players/c/cingrto01.shtml),Strickland (https://www.baseball-reference.com/players/s/strichu01.shtml),3:27,N,"41,936",0.92,---,
25,2018/04/28,boxscore (https://www.baseball-reference.com/boxes/SFN/SFN201804281.shtml),LAD,@,SFG (https://www.baseball-reference.com/teams/SFG/2018.shtml),W,15,6,,12-13,4,7,Buehler (https://www.baseball-reference.com/players/b/buehlwa01.shtml),Stratton (https://www.baseball-reference.com/players/s/stratch01.shtml),,3:53,D,"41,809",0.84,+,2018-04-06 (Rain)
26,2018/04/28,boxscore (https://www.baseball-reference.com/boxes/SFN/SFN201804282.shtml),LAD,@,SFG (https://www.baseball-reference.com/teams/SFG/2018.shtml),L,3,8,,12-14,4,7,Cueto (https://www.baseball-reference.com/players/c/cuetojo01.shtml),Wood (https://www.baseball-reference.com/players/w/woodal02.shtml),,2:58,N,"40,608",0.88,-,
27,2018/04/29,boxscore (https://www.baseball-reference.com/boxes/SFN/SFN201804290.shtml),LAD,@,SFG (https://www.baseball-reference.com/teams/SFG/2018.shtml),L,2,4,,12-15,4,7,Blach (https://www.baseball-reference.com/players/b/blachty01.shtml),Maeda (https://www.baseball-reference.com/players/m/maedake01.shtml),Strickland (https://www.baseball-reference.com/players/s/strichu01.shtml),2:40,D,"42,020",0.83,--,
28,2018/04/30,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201804300.shtml),LAD,@,ARI (https://www.baseball-reference.com/teams/ARI/2018.shtml),L,5,8,,12-16,4,8,Greinke (https://www.baseball-reference.com/players/g/greinza01.shtml),Stripling (https://www.baseball-reference.com/players/s/stripro01.shtml),Boxberger (https://www.baseball-reference.com/players/b/boxbebr01.shtml),3:27,N,"17,562",0.9,---,
Gm#,,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
29,2018/05/01,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201805010.shtml),LAD,@,ARI (https://www.baseball-reference.com/teams/ARI/2018.shtml),L,3,4,,12-17,4,9,Bracho (https://www.baseball-reference.com/players/b/brachsi01.shtml),Liberatore (https://www.baseball-reference.com/players/l/liberad01.shtml),Boxberger (https://www.baseball-reference.com/players/b/boxbebr01.shtml),3:12,N,"18,940",0.83,----,
30,2018/05/02,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201805020.shtml),LAD,@,ARI (https://www.baseball-reference.com/teams/ARI/2018.shtml),W,2,1,,13-17,4,8,Hudson (https://www.baseball-reference.com/players/h/hudsoda01.shtml),Godley (https://www.baseball-reference.com/players/g/godleza01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),3:12,N,"19,531",0.75,+,
31,2018/05/03,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201805030.shtml),LAD,@,ARI (https://www.baseball-reference.com/teams/ARI/2018.shtml),W,5,2,,14-17,4,7,Chargois (https://www.baseball-reference.com/players/c/chargjt01.shtml),Salas (https://www.baseball-reference.com/players/s/salasfe01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),3:17,D,"21,407",0.8,++,
32,2018/05/04,boxscore (https://www.baseball-reference.com/boxes/SDN/SDN201805040.shtml),LAD,@,SDP (https://www.baseball-reference.com/teams/SDP/2018.shtml),W,4,0,,15-17,4,6,Buehler (https://www.baseball-reference.com/players/b/buehlwa01.shtml),Lucchesi (https://www.baseball-reference.com/players/l/lucchjo01.shtml),,3:07,N,"21,536",0.73,+++,
33,2018/05/05,boxscore (https://www.baseball-reference.com/boxes/SDN/SDN201805050.shtml),LAD,@,SDP (https://www.baseball-reference.com/teams/SDP/2018.shtml),L,4,7,,15-18,4,7,Yates (https://www.baseball-reference.com/players/y/yateski01.shtml),Fields (https://www.baseball-reference.com/players/f/fieldjo03.shtml),Hand (https://www.baseball-reference.com/players/h/handbr01.shtml),3:26,N,"21,791",0.82,-,
34,2018/05/06,boxscore (https://www.baseball-reference.com/boxes/SDN/SDN201805060.shtml),LAD,@,SDP (https://www.baseball-reference.com/teams/SDP/2018.shtml),L,0,3,,15-19,4,8,Lauer (https://www.baseball-reference.com/players/l/lauerer01.shtml),Cingrani (https://www.baseball-reference.com/players/c/cingrto01.shtml),Hand (https://www.baseball-reference.com/players/h/handbr01.shtml),3:10,D,"21,789",0.72,--,
35,2018/05/08,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201805080.shtml),LAD,,ARI (https://www.baseball-reference.com/teams/ARI/2018.shtml),L,5,8,12,15-20,4,9,McFarland (https://www.baseball-reference.com/players/m/mcfartj01.shtml),García (https://www.baseball-reference.com/players/g/garciyi01.shtml),,4:29,N,"45,894",0.77,---,
36,2018/05/09,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201805090.shtml),LAD,,ARI (https://www.baseball-reference.com/teams/ARI/2018.shtml),W,6,3,,16-20,4,8,Báez (https://www.baseball-reference.com/players/b/baezpe01.shtml),Salas (https://www.baseball-reference.com/players/s/salasfe01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),3:48,N,"45,600",0.63,+,
37,2018/05/10,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201805100.shtml),LAD,,CIN (https://www.baseball-reference.com/teams/CIN/2018.shtml),L,1,4,,16-21,4,8,Mahle (https://www.baseball-reference.com/players/m/mahlety01.shtml),Buehler (https://www.baseball-reference.com/players/b/buehlwa01.shtml),Iglesias (https://www.baseball-reference.com/players/i/iglesra01.shtml),2:59,N,"47,383",0.62,-,
38,2018/05/11,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201805110.shtml),LAD,,CIN (https://www.baseball-reference.com/teams/CIN/2018.shtml),L,2,6,,16-22,4,8,Brice (https://www.baseball-reference.com/players/b/briceau01.shtml),Maeda (https://www.baseball-reference.com/players/m/maedake01.shtml),Iglesias (https://www.baseball-reference.com/players/i/iglesra01.shtml),3:28,N,"46,979",0.57,--,
39,2018/05/12,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201805120.shtml),LAD,,CIN (https://www.baseball-reference.com/teams/CIN/2018.shtml),L,3,5,,16-23,4,8,Bailey (https://www.baseball-reference.com/players/b/baileho02.shtml),Chargois (https://www.baseball-reference.com/players/c/chargjt01.shtml),Hughes (https://www.baseball-reference.com/players/h/hugheja02.shtml),3:17,N,"49,911",0.56,---,
40,2018/05/13,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201805130.shtml),LAD,,CIN (https://www.baseball-reference.com/teams/CIN/2018.shtml),L,3,5,,16-24,4,8,Castillo (https://www.baseball-reference.com/players/c/castilu02.shtml),Hill (https://www.baseball-reference.com/players/h/hillri01.shtml),Iglesias (https://www.baseball-reference.com/players/i/iglesra01.shtml),2:55,D,"44,787",0.5,----,
41,2018/05/15,boxscore (https://www.baseball-reference.com/boxes/MIA/MIA201805150.shtml),LAD,@,MIA (https://www.baseball-reference.com/teams/MIA/2018.shtml),L,2,4,,16-25,4,8.5,Wittgren (https://www.baseball-reference.com/players/w/wittgni01.shtml),Wood (https://www.baseball-reference.com/players/w/woodal02.shtml),Ziegler (https://www.baseball-reference.com/players/z/zieglbr01.shtml),2:54,N,"6,242",0.47,-----,
42,2018/05/16,boxscore (https://www.baseball-reference.com/boxes/MIA/MIA201805160.shtml),LAD,@,MIA (https://www.baseball-reference.com/teams/MIA/2018.shtml),L,5,6,,16-26,4,8.5,Steckenrider (https://www.baseball-reference.com/players/s/steckdr01.shtml),Báez (https://www.baseball-reference.com/players/b/baezpe01.shtml),Ziegler (https://www.baseball-reference.com/players/z/zieglbr01.shtml),3:01,N,"5,721",0.4,------,
43,2018/05/17,boxscore (https://www.baseball-reference.com/boxes/MIA/MIA201805170.shtml),LAD,@,MIA (https://www.baseball-reference.com/teams/MIA/2018.shtml),W,7,0,,17-26,4,8,Maeda (https://www.baseball-reference.com/players/m/maedake01.shtml),Smith (https://www.baseball-reference.com/players/s/smithca03.shtml),,3:06,D,"13,820",0.39,+,
44,2018/05/19,boxscore (https://www.baseball-reference.com/boxes/WAS/WAS201805191.shtml),LAD,@,WSN (https://www.baseball-reference.com/teams/WSN/2018.shtml),W,4,1,,18-26,4,6,Stripling (https://www.baseball-reference.com/players/s/stripro01.shtml),Roark (https://www.baseball-reference.com/players/r/roarkta01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),3:00,D,"26,740",0.42,++,2018-05-18 (Rain)
45,2018/05/19,boxscore (https://www.baseball-reference.com/boxes/WAS/WAS201805192.shtml),LAD,@,WSN (https://www.baseball-reference.com/teams/WSN/2018.shtml),W,5,4,,19-26,4,6,Goeddel (https://www.baseball-reference.com/players/g/goedder01.shtml),Doolittle (https://www.baseball-reference.com/players/d/doolise01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),3:27,N,"32,378",0.46,+++,
46,2018/05/20,boxscore (https://www.baseball-reference.com/boxes/WAS/WAS201805200.shtml),LAD,@,WSN (https://www.baseball-reference.com/teams/WSN/2018.shtml),W,7,2,,20-26,4,5,Wood (https://www.baseball-reference.com/players/w/woodal02.shtml),Strasburg (https://www.baseball-reference.com/players/s/strasst01.shtml),Fields (https://www.baseball-reference.com/players/f/fieldjo03.shtml),3:08,D,"40,201",0.56,++++,
47,2018/05/21,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201805210.shtml),LAD,,COL (https://www.baseball-reference.com/teams/COL/2018.shtml),L,1,2,,20-27,4,5.5,Márquez (https://www.baseball-reference.com/players/m/marquge01.shtml),Báez (https://www.baseball-reference.com/players/b/baezpe01.shtml),Davis (https://www.baseball-reference.com/players/d/daviswa01.shtml),2:35,N,"42,805",0.74,-,
48,2018/05/22,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201805220.shtml),LAD,,COL (https://www.baseball-reference.com/teams/COL/2018.shtml),W,5,3,,21-27,4,4.5,Chargois (https://www.baseball-reference.com/players/c/chargjt01.shtml),Shaw (https://www.baseball-reference.com/players/s/shawbr01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),2:48,N,"43,719",0.72,+,
49,2018/05/23,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201805230.shtml),LAD,,COL (https://www.baseball-reference.com/teams/COL/2018.shtml),W,3,0,,22-27,4,3.5,Maeda (https://www.baseball-reference.com/players/m/maedake01.shtml),Freeland (https://www.baseball-reference.com/players/f/freelky01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),2:38,N,"45,884",0.81,++,
50,2018/05/25,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201805250.shtml),LAD,,SDP (https://www.baseball-reference.com/teams/SDP/2018.shtml),W,4,1,,23-27,4,3.5,Stripling (https://www.baseball-reference.com/players/s/stripro01.shtml),Richard (https://www.baseball-reference.com/players/r/richacl01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),2:26,N,"44,612",0.82,+++,
51,2018/05/26,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201805260.shtml),LAD,,SDP (https://www.baseball-reference.com/teams/SDP/2018.shtml),L,5,7,,23-28,4,3.5,Stammen (https://www.baseball-reference.com/players/s/stammcr01.shtml),Hudson (https://www.baseball-reference.com/players/h/hudsoda01.shtml),Hand (https://www.baseball-reference.com/players/h/handbr01.shtml),3:12,N,"43,920",0.82,-,
52,2018/05/27,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201805270.shtml),LAD,,SDP (https://www.baseball-reference.com/teams/SDP/2018.shtml),W,6,1,,24-28,4,3.5,Buehler (https://www.baseball-reference.com/players/b/buehlwa01.shtml),Cimber (https://www.baseball-reference.com/players/c/cimbead01.shtml),,2:26,D,"46,650",0.79,+,
53,2018/05/28,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201805280.shtml),LAD,,PHI (https://www.baseball-reference.com/teams/PHI/2018.shtml),W,5,4,,25-28,3,3.5,García (https://www.baseball-reference.com/players/g/garciyi01.shtml),Morgan (https://www.baseball-reference.com/players/m/morgaad01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),3:32,N,"39,759",0.82,++,
54,2018/05/29,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201805290.shtml),LAD,,PHI (https://www.baseball-reference.com/teams/PHI/2018.shtml),L,1,6,,25-29,3,4.5,Arrieta (https://www.baseball-reference.com/players/a/arrieja01.shtml),Maeda (https://www.baseball-reference.com/players/m/maedake01.shtml),,3:26,N,"40,044",0.86,-,
55,2018/05/30,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201805300.shtml),LAD,,PHI (https://www.baseball-reference.com/teams/PHI/2018.shtml),W,8,2,,26-29,3,3.5,Stripling (https://www.baseball-reference.com/players/s/stripro01.shtml),Eflin (https://www.baseball-reference.com/players/e/eflinza01.shtml),,3:03,N,"43,302",0.76,+,
56,2018/05/31,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201805310.shtml),LAD,,PHI (https://www.baseball-reference.com/teams/PHI/2018.shtml),L,1,2,,26-30,3,4,Nola (https://www.baseball-reference.com/players/n/nolaaa01.shtml),Fields (https://www.baseball-reference.com/players/f/fieldjo03.shtml),Domínguez (https://www.baseball-reference.com/players/d/dominse01.shtml),2:40,D,"40,986",0.86,-,
Gm#,,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
57,2018/06/01,boxscore (https://www.baseball-reference.com/boxes/COL/COL201806010.shtml),LAD,@,COL (https://www.baseball-reference.com/teams/COL/2018.shtml),W,11,8,,27-30,3,3,Santana (https://www.baseball-reference.com/players/s/santade01.shtml),Pounders (https://www.baseball-reference.com/players/p/poundbr01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),3:36,N,"42,711",0.98,+,
58,2018/06/02,boxscore (https://www.baseball-reference.com/boxes/COL/COL201806020.shtml),LAD,@,COL (https://www.baseball-reference.com/teams/COL/2018.shtml),W,12,4,,28-30,3,2.5,Báez (https://www.baseball-reference.com/players/b/baezpe01.shtml),Shaw (https://www.baseball-reference.com/players/s/shawbr01.shtml),,3:25,N,"47,703",1.02,++,
59,2018/06/03,boxscore (https://www.baseball-reference.com/boxes/COL/COL201806030.shtml),LAD,@,COL (https://www.baseball-reference.com/teams/COL/2018.shtml),W,10,7,,29-30,3,2.5,Cingrani (https://www.baseball-reference.com/players/c/cingrto01.shtml),Davis (https://www.baseball-reference.com/players/d/daviswa01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),3:43,D,"41,851",1.08,+++,
60,2018/06/05,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201806050.shtml),LAD,@,PIT (https://www.baseball-reference.com/teams/PIT/2018.shtml),W,5,0,,30-30,3,2,Stripling (https://www.baseball-reference.com/players/s/stripro01.shtml),Musgrove (https://www.baseball-reference.com/players/m/musgrjo01.shtml),,3:01,N,"12,879",1.01,++++,
61,2018/06/06,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201806060.shtml),LAD,@,PIT (https://www.baseball-reference.com/teams/PIT/2018.shtml),L,9,11,,30-31,4,2,Brault (https://www.baseball-reference.com/players/b/braulst01.shtml),Hudson (https://www.baseball-reference.com/players/h/hudsoda01.shtml),Vazquez (https://www.baseball-reference.com/players/r/riverfe01.shtml),3:48,N,"14,327",1.07,-,
62,2018/06/07,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201806070.shtml),LAD,@,PIT (https://www.baseball-reference.com/teams/PIT/2018.shtml),W,8,7,,31-31,3,1.5,Báez (https://www.baseball-reference.com/players/b/baezpe01.shtml),Taillon (https://www.baseball-reference.com/players/t/taillja01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),3:37,D,"19,713",0.96,+,
63,2018/06/08,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201806080.shtml),LAD,,ATL (https://www.baseball-reference.com/teams/ATL/2018.shtml),W,7,3,,32-31,2,1.5,Buehler (https://www.baseball-reference.com/players/b/buehlwa01.shtml),McCarthy (https://www.baseball-reference.com/players/m/mccarbr01.shtml),,2:52,N,"47,262",1.08,++,
64,2018/06/09,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201806090.shtml),LAD,,ATL (https://www.baseball-reference.com/teams/ATL/2018.shtml),L,3,5,,32-32,2,2.5,Sánchez (https://www.baseball-reference.com/players/s/sanchan01.shtml),Wood (https://www.baseball-reference.com/players/w/woodal02.shtml),Vizcaíno (https://www.baseball-reference.com/players/v/vizcaar01.shtml),3:11,N,"52,718",1.13,-,
65,2018/06/10,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201806100.shtml),LAD,,ATL (https://www.baseball-reference.com/teams/ATL/2018.shtml),W,7,2,,33-32,2,2.5,Stripling (https://www.baseball-reference.com/players/s/stripro01.shtml),Newcomb (https://www.baseball-reference.com/players/n/newcose01.shtml),,2:37,D,"47,711",1.06,+,
66,2018/06/12,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201806120.shtml),LAD,,TEX (https://www.baseball-reference.com/teams/TEX/2018.shtml),W,12,5,,34-32,2,3,Paredes (https://www.baseball-reference.com/players/p/pareded02.shtml),Colón (https://www.baseball-reference.com/players/c/colonba01.shtml),Corcino (https://www.baseball-reference.com/players/c/corcida01.shtml),3:08,N,"48,233",1.08,++,
67,2018/06/13,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201806130.shtml),LAD,,TEX (https://www.baseball-reference.com/teams/TEX/2018.shtml),W-wo,3,2,11,35-32,2,2,Liberatore (https://www.baseball-reference.com/players/l/liberad01.shtml),Chavez (https://www.baseball-reference.com/players/c/chaveje01.shtml),,3:49,N,"41,303",1.11,+++,
68,2018/06/15,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201806150.shtml),LAD,,SFG (https://www.baseball-reference.com/teams/SFG/2018.shtml),W,3,2,,36-32,2,2.5,Stripling (https://www.baseball-reference.com/players/s/stripro01.shtml),Holland (https://www.baseball-reference.com/players/h/hollade01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),2:53,N,"53,433",1.35,++++,
69,2018/06/16,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201806160.shtml),LAD,,SFG (https://www.baseball-reference.com/teams/SFG/2018.shtml),W,3,1,,37-32,2,1.5,Wood (https://www.baseball-reference.com/players/w/woodal02.shtml),Bumgarner (https://www.baseball-reference.com/players/b/bumgama01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),2:50,N,"53,706",1.38,+++++,
70,2018/06/17,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201806170.shtml),LAD,,SFG (https://www.baseball-reference.com/teams/SFG/2018.shtml),L,1,4,,37-33,2,1.5,Stratton (https://www.baseball-reference.com/players/s/stratch01.shtml),Ferguson (https://www.baseball-reference.com/players/f/ferguca01.shtml),,2:54,D,"49,541",1.46,-,
71,2018/06/19,boxscore (https://www.baseball-reference.com/boxes/CHN/CHN201806191.shtml),LAD,@,CHC (https://www.baseball-reference.com/teams/CHC/2018.shtml),W,4,3,,38-33,2,1.5,Paredes (https://www.baseball-reference.com/players/p/pareded02.shtml),Wilson (https://www.baseball-reference.com/players/w/wilsoju10.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),3:46,D,"39,273",1.38,+,2018-06-18 (Rain and power outage)
72,2018/06/19,boxscore (https://www.baseball-reference.com/boxes/CHN/CHN201806192.shtml),LAD,@,CHC (https://www.baseball-reference.com/teams/CHC/2018.shtml),L-wo,1,2,10,38-34,2,1.5,Zastryzny (https://www.baseball-reference.com/players/z/zastrro01.shtml),Stewart (https://www.baseball-reference.com/players/s/stewabr01.shtml),,3:19,N,"40,409",1.41,-,
73,2018/06/20,boxscore (https://www.baseball-reference.com/boxes/CHN/CHN201806200.shtml),LAD,@,CHC (https://www.baseball-reference.com/teams/CHC/2018.shtml),L,0,4,,38-35,2,2,Lester (https://www.baseball-reference.com/players/l/lestejo01.shtml),Stripling (https://www.baseball-reference.com/players/s/stripro01.shtml),,2:46,D,"41,199",1.37,--,
74,2018/06/22,boxscore (https://www.baseball-reference.com/boxes/NYN/NYN201806220.shtml),LAD,@,NYM (https://www.baseball-reference.com/teams/NYM/2018.shtml),W,5,2,,39-35,2,2.5,Wood (https://www.baseball-reference.com/players/w/woodal02.shtml),Wheeler (https://www.baseball-reference.com/players/w/wheelza01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),2:40,N,"32,565",1.24,+,
75,2018/06/23,boxscore (https://www.baseball-reference.com/boxes/NYN/NYN201806230.shtml),LAD,@,NYM (https://www.baseball-reference.com/teams/NYM/2018.shtml),W,8,3,,40-35,2,2.5,Ferguson (https://www.baseball-reference.com/players/f/ferguca01.shtml),deGrom (https://www.baseball-reference.com/players/d/degroja01.shtml),,3:01,N,"37,705",1.32,++,
76,2018/06/24,boxscore (https://www.baseball-reference.com/boxes/NYN/NYN201806240.shtml),LAD,@,NYM (https://www.baseball-reference.com/teams/NYM/2018.shtml),W,8,7,11,41-35,2,2.5,Hudson (https://www.baseball-reference.com/players/h/hudsoda01.shtml),Flexen (https://www.baseball-reference.com/players/f/flexech01.shtml),,3:50,D,"34,060",1.31,+++,
77,2018/06/25,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201806250.shtml),LAD,,CHC (https://www.baseball-reference.com/teams/CHC/2018.shtml),W,2,1,,42-35,2,1.5,Maeda (https://www.baseball-reference.com/players/m/maedake01.shtml),Underwood (https://www.baseball-reference.com/players/u/underdu01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),2:32,N,"41,750",1.45,++++,
78,2018/06/26,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201806260.shtml),LAD,,CHC (https://www.baseball-reference.com/teams/CHC/2018.shtml),L,4,9,,42-36,2,2.5,Lester (https://www.baseball-reference.com/players/l/lestejo01.shtml),García (https://www.baseball-reference.com/players/g/garciyi01.shtml),,3:26,N,"53,904",1.5,-,
79,2018/06/27,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201806270.shtml),LAD,,CHC (https://www.baseball-reference.com/teams/CHC/2018.shtml),W,7,5,,43-36,2,2.5,Wood (https://www.baseball-reference.com/players/w/woodal02.shtml),Hendricks (https://www.baseball-reference.com/players/h/hendrky01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),3:08,N,"42,121",1.44,+,
80,2018/06/28,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201806280.shtml),LAD,,CHC (https://www.baseball-reference.com/teams/CHC/2018.shtml),L,5,11,,43-37,2,3.5,Cishek (https://www.baseball-reference.com/players/c/cishest01.shtml),Buehler (https://www.baseball-reference.com/players/b/buehlwa01.shtml),,3:03,D,"52,187",1.46,-,
81,2018/06/29,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201806290.shtml),LAD,,COL (https://www.baseball-reference.com/teams/COL/2018.shtml),L,1,3,,43-38,2,3.5,Anderson (https://www.baseball-reference.com/players/a/anderty01.shtml),Hill (https://www.baseball-reference.com/players/h/hillri01.shtml),Davis (https://www.baseball-reference.com/players/d/daviswa01.shtml),2:39,N,"41,909",1.45,--,
82,2018/06/30,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201806300.shtml),LAD,,COL (https://www.baseball-reference.com/teams/COL/2018.shtml),L,1,3,,43-39,2,3.5,Márquez (https://www.baseball-reference.com/players/m/marquge01.shtml),Maeda (https://www.baseball-reference.com/players/m/maedake01.shtml),Ottavino (https://www.baseball-reference.com/players/o/ottavad01.shtml),2:39,D,"46,172",1.41,---,
Gm#,,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
83,2018/07/01,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201807010.shtml),LAD,,COL (https://www.baseball-reference.com/teams/COL/2018.shtml),W,6,4,,44-39,2,2.5,Hudson (https://www.baseball-reference.com/players/h/hudsoda01.shtml),Ottavino (https://www.baseball-reference.com/players/o/ottavad01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),3:00,D,"45,725",1.35,+,
84,2018/07/02,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201807020.shtml),LAD,,PIT (https://www.baseball-reference.com/teams/PIT/2018.shtml),W,17,1,,45-39,2,1.5,Wood (https://www.baseball-reference.com/players/w/woodal02.shtml),Kingham (https://www.baseball-reference.com/players/k/kinghni01.shtml),Ferguson (https://www.baseball-reference.com/players/f/ferguca01.shtml),3:20,N,"45,207",1.33,++,
85,2018/07/03,boxscore (https://www.baseball-reference.com/boxes/LAN/LAN201807030.shtml),LAD,,PIT (https://www.baseball-reference.com/teams/PIT/2018.shtml),W,8,3,,46-39,2,1.5,Kershaw (https://www.baseball-reference.com/players/k/kershcl01.shtml),Nova (https://www.baseball-reference.com/players/n/novaiv01.shtml),,2:57,N,"48,819",1.41,+++,
