Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
33,"Saturday, May 8 (https://www.baseball-reference.com/boxes/?date=2021-05-08)",boxscore (https://www.baseball-reference.com/boxes/NYN/NYN202105080.shtml),ARI,@,NYM (https://www.baseball-reference.com/teams/NYM/2021.shtml),L,2,4,,15-18,4,5,Lucchesi (https://www.baseball-reference.com/players/l/lucchjo01.shtml),Kelly (https://www.baseball-reference.com/players/k/kellyme01.shtml),May (https://www.baseball-reference.com/players/m/maytr01.shtml),3:30,N,"7,908",0.94,-----,
34,"Sunday, May 9 (https://www.baseball-reference.com/boxes/?date=2021-05-09)",boxscore (https://www.baseball-reference.com/boxes/NYN/NYN202105090.shtml),ARI,@,NYM (https://www.baseball-reference.com/teams/NYM/2021.shtml),L,2,4,,15-19,4,5,deGrom (https://www.baseball-reference.com/players/d/degroja01.shtml),Smith (https://www.baseball-reference.com/players/s/smithri01.shtml),Díaz (https://www.baseball-reference.com/players/d/diazed04.shtml),3:27,D,"7,880",0.9,------,
35,"Monday, May 10 (https://www.baseball-reference.com/boxes/?date=2021-05-10)",boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202105100.shtml),ARI,,MIA (https://www.baseball-reference.com/teams/MIA/2021.shtml),W,5,2,,16-19,4,5,Weaver (https://www.baseball-reference.com/players/w/weavelu01.shtml),Holloway (https://www.baseball-reference.com/players/h/hollojo01.shtml),Crichton (https://www.baseball-reference.com/players/c/crichst01.shtml),2:47,N,"6,307",0.81,+,
36,"Tuesday, May 11 (https://www.baseball-reference.com/boxes/?date=2021-05-11)",boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202105110.shtml),ARI,,MIA (https://www.baseball-reference.com/teams/MIA/2021.shtml),W,11,3,,17-19,4,5,Bumgarner (https://www.baseball-reference.com/players/b/bumgama01.shtml),López (https://www.baseball-reference.com/players/l/lopezpa01.shtml),,3:02,N,"5,560",0.89,++,
37,"Wednesday, May 12 (https://www.baseball-reference.com/boxes/?date=2021-05-12)",boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202105120.shtml),ARI,,MIA (https://www.baseball-reference.com/teams/MIA/2021.shtml),L,2,3,,17-20,4,5.5,Poteet (https://www.baseball-reference.com/players/p/poteeco01.shtml),Peacock (https://www.baseball-reference.com/players/p/peacoma01.shtml),García (https://www.baseball-reference.com/players/g/garciyi01.shtml),2:41,N,"5,714",0.91,-,
38,"Thursday, May 13 (https://www.baseball-reference.com/boxes/?date=2021-05-13)",boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202105130.shtml),ARI,,MIA (https://www.baseball-reference.com/teams/MIA/2021.shtml),L,1,5,,17-21,4,6.5,Rogers (https://www.baseball-reference.com/players/r/rogertr01.shtml),Kelly (https://www.baseball-reference.com/players/k/kellyme01.shtml),,2:55,N,"5,967",0.81,--,
39,"Friday, May 14 (https://www.baseball-reference.com/boxes/?date=2021-05-14)",boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202105140.shtml),ARI,,WSN (https://www.baseball-reference.com/teams/WSN/2021.shtml),L,2,17,,17-22,4,6.5,Scherzer (https://www.baseball-reference.com/players/s/scherma01.shtml),Smith (https://www.baseball-reference.com/players/s/smithri01.shtml),,3:14,N,"11,907",0.75,---,
40,"Saturday, May 15 (https://www.baseball-reference.com/boxes/?date=2021-05-15)",boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202105150.shtml),ARI,,WSN (https://www.baseball-reference.com/teams/WSN/2021.shtml),W,11,4,,18-22,4,5.5,Young (https://www.baseball-reference.com/players/y/youngal01.shtml),Ross (https://www.baseball-reference.com/players/r/rossjo01.shtml),,3:27,N,"13,462",0.68,+,
41,"Sunday, May 16 (https://www.baseball-reference.com/boxes/?date=2021-05-16)",boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202105160.shtml),ARI,,WSN (https://www.baseball-reference.com/teams/WSN/2021.shtml),L,0,3,,18-23,4,6.5,Fedde (https://www.baseball-reference.com/players/f/feddeer01.shtml),Crichton (https://www.baseball-reference.com/players/c/crichst01.shtml),Hand (https://www.baseball-reference.com/players/h/handbr01.shtml),2:49,D,"11,619",0.76,-,
42,"Monday, May 17 (https://www.baseball-reference.com/boxes/?date=2021-05-17)",boxscore (https://www.baseball-reference.com/boxes/LAN/LAN202105170.shtml),ARI,@,LAD (https://www.baseball-reference.com/teams/LAD/2021.shtml),L,1,3,,18-24,4,7.5,Buehler (https://www.baseball-reference.com/players/b/buehlwa01.shtml),Bumgarner (https://www.baseball-reference.com/players/b/bumgama01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),3:05,N,"14,088",0.76,--,
