Gm#,Date,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak
152,2017/09/19,ARI,SDP,L,2,6,,87-65,2,9.5,Wood,Godley,,2:45,N,"20,101",0.07,---
153,2017/09/20,ARI,SDP,W,13,7,,88-65,2,8.5,Sherfy,Stammen,,3:47,N,"25,797",0.07,+
154,2017/09/22,ARI,MIA,W,13,11,,89-65,2,9,Hoover,McGowan,Rodney,3:54,N,"34,588",0.03,++
155,2017/09/23,ARI,MIA,L,6,12,,89-66,2,9,Ellington,Walker,,3:51,N,"39,259",0.02,-
156,2017/09/24,ARI,MIA,W-wo,3,2,,90-66,2,9,Rodney,Nicolino,,3:10,D,"31,539",0.02,+
157,2017/09/25,ARI,SFG,L,2,9,,90-67,2,10,Cueto,Godley,,3:09,N,"22,813",0.02,-
158,2017/09/26,ARI,SFG,W,11,4,,91-67,2,10,Ray,Moore,,3:23,N,"27,487",0.02,+
159,2017/09/27,ARI,SFG,W-wo,4,3,,92-67,2,10,Hoover,Dyson,,3:20,D,"20,048",0.03,++
160,2017/09/29,ARI,KCR,L,1,2,,92-68,2,10,Kennedy,Greinke,Minor,2:59,N,"23,488",0.04,-
161,2017/09/30,ARI,KCR,L,3,4,,92-69,2,11,Junis,Bradley,Minor,2:44,N,"32,727",0.05,--
Gm#,,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,
162,2017/10/01,ARI,KCR,W,14,2,,93-69,2,11,Banda,Vargas,,3:31,D,"32,277",0.05,+
Gm#,,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,
Gm#,,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,
1,2017/04/03,ATL,NYM,L,0,6,,0-1,4,1,Robles,Krol,,3:13,D,"44,384",1.07,-
2,2017/04/05,ATL,NYM,W,3,1,12,1-1,2,1,Johnson,Montero,,3:51,N,"28,113",1,+
3,2017/04/06,ATL,NYM,L,2,6,,1-2,3,1,Harvey,García,,2:28,N,"23,100",1.07,-
4,2017/04/07,ATL,PIT,L,4,5,,1-3,4,2,Nova,Foltynewicz,Watson,3:18,D,"36,484",0.93,--
5,2017/04/08,ATL,PIT,L,4,6,,1-4,5,2,Kuhl,Dickey,Watson,3:00,N,"31,756",0.88,---
